Symbol,Name,Asset Class,Weight (%),Price,Shares,MarketCap,Notional Value,Sector,SEDOL,ISIN,Exchange
"HLT","HILTON WORLDWIDE HOLDINGS INC","Equity","0.12","108.48","2,196,222.00","238,246,162.56","238,246,162.56","Consumer Discretionary","BYVMW06","US43300A2033","New York Stock Exchange Inc."
"EA","ELECTRONIC ARTS INC","Equity","0.12","105.72","2,252,491.00","238,133,348.52","238,133,348.52","Communication","2310194","US2855121099","NASDAQ"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Equity","0.12","150.00","1,580,612.00","237,091,800.00","237,091,800.00","Health Care","2783815","US98956P1021","New York Stock Exchange Inc."
"YUM","YUM BRANDS INC","Equity","0.12","100.89","2,345,296.00","236,616,913.44","236,616,913.44","Consumer Discretionary","2098876","US9884981013","New York Stock Exchange Inc."
"VFC","VF CORP","Equity","0.12","94.04","2,510,419.00","236,079,802.76","236,079,802.76","Consumer Discretionary","2928683","US9182041080","New York Stock Exchange Inc."
"STZ","CONSTELLATION BRANDS INC CLASS A","Equity","0.12","182.89","1,289,254.00","235,791,664.06","235,791,664.06","Consumer Staples","2170473","US21036P1084","New York Stock Exchange Inc."
"OKE","ONEOK INC","Equity","0.11","73.39","3,182,279.00","233,547,455.81","233,547,455.81","Energy","2130109","US6826801036","New York Stock Exchange Inc."
"HPQ","HP INC","Equity","0.11","20.52","11,343,945.00","232,777,751.40","232,777,751.40","Information Technology","BYX4D52","US40434L1052","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.11","1,225.22","189,148.00","231,747,912.56","231,747,912.56","Consumer Discretionary","2065955","US0533321024","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.11","59.35","3,897,870.00","231,338,584.50","231,338,584.50","Utilities","2707677","US7445731067","New York Stock Exchange Inc."
"INFO","IHS MARKIT LTD","Equity","0.11","74.91","3,069,933.00","229,968,681.03","229,968,681.03","Industrials","BD0Q558","BMG475671050","New York Stock Exchange Inc."
"REGN","REGENERON PHARMACEUTICALS INC","Equity","0.11","376.01","611,253.00","229,837,240.53","229,837,240.53","Health Care","2730190","US75886F1075","NASDAQ"
"STT","STATE STREET CORP","Equity","0.11","79.62","2,867,601.00","228,318,391.62","228,318,391.62","Financials","2842040","US8574771031","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.11","209.37","1,076,033.00","225,289,029.21","225,289,029.21","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","0.11","88.23","2,542,370.00","224,313,305.10","224,313,305.10","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"TROW","T ROWE PRICE GROUP INC","Equity","0.11","123.24","1,806,821.00","222,672,620.04","222,672,620.04","Financials","2702337","US74144T1088","NASDAQ"
"WEC","WEC ENERGY GROUP INC","Equity","0.11","90.63","2,431,570.00","220,373,189.10","220,373,189.10","Utilities","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"PCAR","PACCAR INC","Equity","0.11","82.82","2,658,498.00","220,176,804.36","220,176,804.36","Industrials","2665861","US6937181088","NASDAQ"
"CMI","CUMMINS INC","Equity","0.11","181.81","1,211,120.00","220,193,727.20","220,193,727.20","Industrials","2240202","US2310211063","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","0.11","575.34","379,756.00","218,488,817.04","218,488,817.04","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.11","81.50","2,667,561.00","217,406,221.50","217,406,221.50","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"EBAY","EBAY INC","Equity","0.10","35.40","6,032,977.00","213,567,385.80","213,567,385.80","Consumer Discretionary","2293819","US2786421030","NASDAQ"
"WMB","WILLIAMS INC","Equity","0.10","22.82","9,334,303.00","213,008,794.46","213,008,794.46","Energy","2967181","US9694571004","New York Stock Exchange Inc."
"KLAC","KLA CORP","Equity","0.10","172.06","1,228,219.00","211,327,361.14","211,327,361.14","Information Technology","2480138","US4824801009","NASDAQ"
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.10","86.13","2,441,323.00","210,271,149.99","210,271,149.99","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","0.10","84.91","2,465,451.00","209,341,444.41","209,341,444.41","Information Technology","2674458","US7043261079","NASDAQ"
